"ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","Shape_Length","Shape_Area"
105,"IND","India","15","Jammu and Kashmir","179","Pulwama","District","District",NA,NA,1.54848292044399,0.101482333251613
105,"IND","India","15","Jammu and Kashmir","180","Punch","District","District",NA,NA,3.33809249888234,0.297805323556514
105,"IND","India","15","Jammu and Kashmir","181","Rajauri","District","District",NA,NA,2.81253720895198,0.311175780545446
105,"IND","India","15","Jammu and Kashmir","182","Srinagar","District","District",NA,NA,1.8972784017781,0.164758773797062
105,"IND","India","15","Jammu and Kashmir","183","Udhampur","District","District",NA,NA,3.88624534160781,0.446552801848197
105,"IND","India","16","Jharkhand","184","Bokaro","District","District",NA,NA,3.83055166926424,0.254061116465918
105,"IND","India","16","Jharkhand","185","Chatra","District","District",NA,NA,4.34748157934677,0.333825373643772
105,"IND","India","16","Jharkhand","186","Deoghar","District","District",NA,"Devghar",2.72009524197607,0.217136635284996
105,"IND","India","16","Jharkhand","187","Dhanbad","District","District",NA,NA,2.16673206502421,0.184664576328927
105,"IND","India","16","Jharkhand","188","Dumka","District","District",NA,"Santhal Pargana, Santal Parganas",3.58218719223936,0.335715863802766
105,"IND","India","16","Jharkhand","189","Garhwa","District","District",NA,NA,3.55619820680955,0.362168409585151
105,"IND","India","16","Jharkhand","190","Giridih","District","District",NA,NA,4.07320910527752,0.444371408761077
105,"IND","India","16","Jharkhand","191","Godda","District","District",NA,"Goodda",2.55773315822501,0.200265333485722
105,"IND","India","16","Jharkhand","192","Gumla","District","District",NA,NA,4.89555925114949,0.472904016351083
105,"IND","India","16","Jharkhand","193","Hazaribag","District","District",NA,NA,6.6190333225283,0.546616509709551
105,"IND","India","16","Jharkhand","194","Jamtara","District","District",NA,NA,2.88556132475311,0.160110490338413
105,"IND","India","16","Jharkhand","195","Koderma","District","District",NA,NA,2.27189371053868,0.117810863128392
105,"IND","India","16","Jharkhand","196","Latehar","District","District",NA,NA,4.40630910520352,0.377590638949169
105,"IND","India","16","Jharkhand","197","Lohardaga","District","District",NA,"Lohargada",2.14771300247193,0.132561708189316
105,"IND","India","16","Jharkhand","198","Pakur","District","District",NA,NA,2.77951408258478,0.161762827170612
105,"IND","India","16","Jharkhand","199","Palamu","District","District",NA,NA,4.07356855771623,0.395945793869048
105,"IND","India","16","Jharkhand","200","Pashchim Singhbhum","District","District",NA,"Singhbhum West",4.74550785908017,0.634236473953949
105,"IND","India","16","Jharkhand","201","Purba Singhbhum","District","District",NA,"Singhbhum East",3.83084903206645,0.31416576015182
105,"IND","India","16","Jharkhand","202","Ranchi","District","District",NA,NA,5.47773956663066,0.675369539894757
105,"IND","India","16","Jharkhand","203","Sahibganj","District","District",NA,NA,2.57516025068844,0.196645254058238
105,"IND","India","16","Jharkhand","204","Saraikela Kharsawan","District","District",NA,NA,3.25694584415369,0.233440341464288
105,"IND","India","16","Jharkhand","205","Simdega","District","District",NA,NA,3.57788212839852,0.332923272755588
105,"IND","India","17","Karnataka","206","Bagalkot","District","District",NA,NA,5.77789052100542,0.553821956287716
105,"IND","India","17","Karnataka","207","Bangalore Rural","District","District",NA,NA,7.17712363945863,0.483936569238697
105,"IND","India","17","Karnataka","208","Bangalore Urban","District","District",NA,NA,2.77293599194848,0.181516795113554
105,"IND","India","17","Karnataka","209","Belgaum","District","District",NA,NA,9.39176405492728,1.12651752274178
105,"IND","India","17","Karnataka","210","Bellary","District","District",NA,NA,6.83888442803692,0.708337212839994
105,"IND","India","17","Karnataka","211","Bidar","District","District",NA,NA,4.66826151650503,0.463418252322304
105,"IND","India","17","Karnataka","212","Bijapur","District","District",NA,NA,6.23599420595132,0.88870989942369
105,"IND","India","17","Karnataka","213","Chamrajnagar","District","District",NA,NA,5.05048332905951,0.469209636728901
105,"IND","India","17","Karnataka","214","Chikmagalur","District","District",NA,"Chikmaglur|Kadur",4.97885355929162,0.600026877993497
105,"IND","India","17","Karnataka","215","Chitradurga","District","District",NA,"Chitaldroog|Chitaldrug",5.78521673592388,0.70566905658054
105,"IND","India","17","Karnataka","216","Dakshin Kannad","District","District",NA,NA,4.3945318418969,0.379807250959856
105,"IND","India","17","Karnataka","217","Davanagere","District","District",NA,NA,5.59316624739304,0.553735703120716
105,"IND","India","17","Karnataka","218","Dharwad","District","District",NA,"Dhawad, Dharwar",4.03747692227466,0.35869631746756
105,"IND","India","17","Karnataka","219","Gadag","District","District",NA,NA,4.9026925157929,0.389915134106556
105,"IND","India","17","Karnataka","220","Gulbarga","District","District",NA,NA,8.97881523011307,1.37726345445842
105,"IND","India","17","Karnataka","221","Hassan","District","District",NA,NA,5.52801843803282,0.565800288419271
105,"IND","India","17","Karnataka","222","Haveri","District","District",NA,NA,4.07415716365036,0.402374173616415
105,"IND","India","17","Karnataka","223","Kodagu","District","District",NA,"Coorg",3.89778355465506,0.340390757548449
105,"IND","India","17","Karnataka","224","Kolar","District","District",NA,NA,6.82655064160043,0.684285352119367
105,"IND","India","17","Karnataka","225","Koppal","District","District",NA,NA,4.85222872486334,0.468085860706169
105,"IND","India","17","Karnataka","226","Mandya","District","District",NA,NA,4.4240145979579,0.409783845985648
105,"IND","India","17","Karnataka","227","Mysore","District","District",NA,NA,5.51073534003383,0.523123956365464
105,"IND","India","17","Karnataka","228","Raichur","District","District",NA,NA,4.85077138895746,0.71255509868933
105,"IND","India","17","Karnataka","229","Shimoga","District","District",NA,NA,5.89260872166388,0.647171246691877
105,"IND","India","17","Karnataka","230","Tumkur","District","District",NA,NA,9.15526571664749,0.884369550225547
105,"IND","India","17","Karnataka","231","Udupi","District","District",NA,NA,4.01657546249583,0.325735999740586
105,"IND","India","17","Karnataka","232","Uttar Kannand","District","District",NA,NA,8.07369101417647,0.862707384090772
105,"IND","India","18","Kerala","233","Alappuzha","District","District",NA,"Alleppey",4.7901084497744,0.102518028597855
105,"IND","India","18","Kerala","234","Ernakulam","District","District",NA,NA,5.872745960159,0.185569158431454
105,"IND","India","18","Kerala","235","Idukki","District","District",NA,"Idikki",4.86549191300903,0.411327564597737
105,"IND","India","18","Kerala","236","Kannur","District","District",NA,"Cannanore",5.0783406623243,0.230251259043129
105,"IND","India","18","Kerala","237","Kasaragod","District","District",NA,NA,4.01602813159085,0.162230369282044
105,"IND","India","18","Kerala","238","Kollam","District","District",NA,"Quilon",3.03638186801896,0.197677462176229
105,"IND","India","18","Kerala","239","Kottayam","District","District",NA,NA,2.9211051375234,0.173194811664876
105,"IND","India","18","Kerala","240","Kozhikode","District","District",NA,"Calicut",2.97019484335253,0.188249594048097
105,"IND","India","18","Kerala","241","Malappuram","District","District",NA,NA,3.51144988387836,0.289643351643485
105,"IND","India","18","Kerala","242","Palakkad","District","District",NA,"Palghat",4.49404224807084,0.369666030808701
105,"IND","India","18","Kerala","243","Pattanamtitta","District","District",NA,NA,3.1609426569097,0.216769240359984
105,"IND","India","18","Kerala","244","Thiruvananthapuram","District","District",NA,"Trivandrum",2.53104253314523,0.167776386355394
105,"IND","India","18","Kerala","245","Thrissur","District","District",NA,"Trichur",3.8426413918136,0.242850337592249
105,"IND","India","18","Kerala","246","Wayanad","District","District",NA,"Wynaad|Wynad",2.36995137848011,0.17595342872666
105,"IND","India","19","Lakshadweep","247","Kavaratti","District","District",NA,NA,1.74454176441496,0.00287857710282335
105,"IND","India","2","Andhra Pradesh","10","Nellore","District","District",NA,NA,9.87952169584883,1.09724593381907
105,"IND","India","2","Andhra Pradesh","11","Prakasam","District","District",NA,NA,7.66275730985877,1.49967616941649
105,"IND","India","2","Andhra Pradesh","12","Srikakulam","District","District",NA,"Srikakulum",6.46390215206609,0.537179595427004
105,"IND","India","2","Andhra Pradesh","13","Vishakhapatnam","District","District",NA,"Fisakapatnam|Vizagapatam|Visakhapatnam",9.04217395282587,0.969559305223795
105,"IND","India","2","Andhra Pradesh","14","Vizianagaram","District","District",NA,"Vizianagram",7.21542217914417,0.48978753664416
105,"IND","India","2","Andhra Pradesh","15","West Godavari","District","District",NA,NA,4.55829693852678,0.657849657240126
105,"IND","India","2","Andhra Pradesh","3","Anantapur","District","District",NA,"Anantpur, Ananthapur",11.9417619805723,1.61187567446902
105,"IND","India","2","Andhra Pradesh","4","Chittoor","District","District",NA,"Chitoor|Chittor",10.1540825547072,1.26620966435074
105,"IND","India","2","Andhra Pradesh","5","Cuddapah","District","District",NA,NA,6.68259522181673,1.2699487578575
105,"IND","India","2","Andhra Pradesh","6","East Godavari","District","District",NA,NA,8.41127899219684,0.91350711395352
105,"IND","India","2","Andhra Pradesh","7","Guntur","District","District",NA,NA,6.95545250984959,0.964803169004855
105,"IND","India","2","Andhra Pradesh","8","Krishna","District","District",NA,"Kistna",7.94417379926987,0.729451769017068
105,"IND","India","2","Andhra Pradesh","9","Kurnool","District","District",NA,NA,7.77334941150776,1.49762700098654
105,"IND","India","20","Madhya Pradesh","248","Anuppur","District","District",NA,NA,2.67340985961624,0.178624675325406
105,"IND","India","20","Madhya Pradesh","249","Ashoknagar","District","District",NA,NA,3.73286010622414,0.421156015909249
105,"IND","India","20","Madhya Pradesh","250","Balaghat","District","District",NA,NA,6.11004159289869,0.808228169880738
105,"IND","India","20","Madhya Pradesh","251","Barwani","District","District",NA,NA,4.41245536932286,0.473719747591547
105,"IND","India","20","Madhya Pradesh","252","Betul","District","District",NA,NA,6.27050016584639,0.879822758957744
105,"IND","India","20","Madhya Pradesh","253","Bhind","District","District",NA,NA,4.81193857736754,0.404682348293134
105,"IND","India","20","Madhya Pradesh","254","Bhopal","District","District",NA,NA,3.15142867908269,0.240575894698848
105,"IND","India","20","Madhya Pradesh","255","Burhanpur","District","District",NA,NA,2.87732749322802,0.278397342779498
105,"IND","India","20","Madhya Pradesh","256","Chhatarpur","District","District",NA,"Chhatapur|Chatarpur",7.98540049233217,0.777956970232436
105,"IND","India","20","Madhya Pradesh","257","Chhindwara","District","District",NA,NA,6.78537230723255,1.03331090122085
105,"IND","India","20","Madhya Pradesh","258","Damoh","District","District",NA,NA,5.34924782860771,0.651587645981642
105,"IND","India","20","Madhya Pradesh","259","Datia","District","District",NA,NA,3.34247034302259,0.227127759062577
105,"IND","India","20","Madhya Pradesh","260","Dewas","District","District",NA,NA,6.93126959032354,0.611638955000654
105,"IND","India","20","Madhya Pradesh","261","Dhar","District","District",NA,NA,5.30333019336952,0.713903918564016
105,"IND","India","20","Madhya Pradesh","262","Dindori","District","District",NA,NA,5.74977035988573,0.570822699999582
105,"IND","India","20","Madhya Pradesh","263","East Nimar","District","District",NA,"Khandwa",5.31886671774877,0.650840463873449
105,"IND","India","20","Madhya Pradesh","264","Guna","District","District",NA,"Goona",5.87574029400847,0.561169825006807
105,"IND","India","20","Madhya Pradesh","265","Gwalior","District","District",NA,"Gird, Gird Gwalior",3.32970319054695,0.413133277957973
105,"IND","India","20","Madhya Pradesh","266","Harda","District","District",NA,NA,2.8291555819491,0.290355477722169
105,"IND","India","20","Madhya Pradesh","267","Hoshangabad","District","District",NA,NA,5.06816025834373,0.589148986902731
105,"IND","India","20","Madhya Pradesh","268","Indore","District","District",NA,NA,4.18480798366347,0.343563362512214
105,"IND","India","20","Madhya Pradesh","269","Jabalpur","District","District",NA,"Jubbulpore",4.61002944617152,0.353782740472513
105,"IND","India","20","Madhya Pradesh","270","Jhabua","District","District",NA,NA,5.99128603684792,0.59356028123874
105,"IND","India","20","Madhya Pradesh","271","Katni","District","District",NA,NA,5.25696963520938,0.545687460093164
105,"IND","India","20","Madhya Pradesh","272","Mandla","District","District",NA,NA,5.26720317915904,0.59505147398157
105,"IND","India","20","Madhya Pradesh","273","Mandsaur","District","District",NA,"Mandasor",5.18809308668967,0.50048983294255
105,"IND","India","20","Madhya Pradesh","274","Morena","District","District",NA,"Tonwarghar",5.57614027709659,0.451000406050305
105,"IND","India","20","Madhya Pradesh","275","Narsinghpur","District","District",NA,"Narsimhapur",4.61713508729366,0.452914843255691
105,"IND","India","20","Madhya Pradesh","276","Neemuch","District","District",NA,NA,5.8197280501212,0.370357299019798
105,"IND","India","20","Madhya Pradesh","277","Panna","District","District",NA,NA,5.96669046195953,0.633277226595983
105,"IND","India","20","Madhya Pradesh","278","Raisen","District","District",NA,NA,6.58132894018048,0.749433617602332
105,"IND","India","20","Madhya Pradesh","279","Rajgarh","District","District",NA,NA,4.16624040966248,0.542508728074591
105,"IND","India","20","Madhya Pradesh","280","Ratlam","District","District",NA,NA,4.83635647733643,0.42576593964624
